teamFotmobId,team_name
9785,Oldham Athletic
9786,Chesterfield
9788,Borussia M'gladbach
9789,Borussia Dortmund
9790,Hamburger SV
9791,Heracles
9792,Burton Albion
9794,Ebbsfleet United
9795,Swindon Town
9796,Huddersfield Town
9797,Chester
9798,Reading
9799,Port Vale
9800,St. Mirren
9802,Djurgården
9803,Roda JC
9804,Torino
9808,Corinthians
9810,Eintracht Frankfurt
9812,Raufoss
9814,Horsens
9817,Watford
9818,Mansfield Town
9819,Notts County
9823,Bayern München
9824,Vaduz
9825,Arsenal
9826,Crystal Palace
9828,Forest Green Rovers
9829,Monaco
9830,Nantes
9831,Nice
9832,AlbinoLeffe
9833,Exeter City
9834,Cambridge United
9835,Den Bosch
9836,Dijon
9837,Reims
9838,MVV
9839,VVV Venlo
9841,Wrexham
9847,PSG
9848,Strasbourg
9849,Arezzo
9850,Norwich City
9851,Rennes
9853,Saint-Étienne
9854,Châteauroux
9855,Grenoble
9857,Bologna
9859,Helsingborg
9860,Hearts
9861,HJK
9862,Goiás
9863,Fluminense
9864,Málaga
9865,Almería
9866,Deportivo Alavés
9867,Tenerife
9869,Sporting Gijón
9872,Triestina
9873,Valenciennes
9874,Sochaux
9875,Napoli
9876,Hellas Verona
9878,Pescara
9879,Fulham
9881,Spezia
9882,Sampdoria
9883,Juventud
9884,Crotone
9885,Juventus
9886,Rimini
9887,Modena
9888,Lecce
9889,Mantova
9891,Frosinone
9892,Kalmar
9893,IFK Göteborg
9894,Worksop Town
9896,Shrewsbury Town
9899,Zemplín Michalovce
9902,Ipswich Town
9903,Doncaster Rovers
9904,Hannover 96
9905,Mainz 05
9906,Atlético Madrid
9907,Lyngby
9908,Utrecht
9910,Celta de Vigo
9911,Bochum
9912,Arminia Bielefeld
9913,Ayr United
9915,Altrincham
9916,York City
9917,Molde
9918,Stabæk
9919,Start
9925,Celtic
9927,Motherwell
9930,Aarau
9931,Basel
9935,Puntarenas
9937,Brentford
9938,Dundee United
9939,Viborg
9940,Hillerød
9941,Toulouse
9950,Hobro
9956,Grasshopper
9969,Middelfart
9976,Bari
9977,LASK
9979,Kapfenberger SV
9982,Austria Lustenau
9984,Cercle Brugge
9985,Standard Liège
9986,Charleroi
9987,Genk
9988,Antwerp
9991,Gent
9992,RWD Molenbeek
9997,Sint-Truiden
10000,Zulte-Waregem
10001,Westerlo
10002,Örgryte
10003,Swansea City
10004,Millwall
10005,Grimsby Town
10006,Walsall
10007,Stockport County
10008,Rheindorf Altach
10009,Austria Klagenfurt
10011,Austria Wien
10012,Grazer AK
10013,Salzburg
10014,Sturm Graz
10015,Rapid Wien
10017,Ried
10021,Åsane
10026,Bylis Ballsh
10027,Dinamo City
10028,Partizani Tirana
10029,Tirana
10030,Flamurtari Vlorë
10034,Vllaznia Shkodër
10037,Teuta Durrës
10038,AF Elbasani
10039,Egnatia Rrogozhinë
10053,Admira
10056,Hartberg
10076,River Plate
10077,Boca Juniors
10078,Independiente
10079,Vélez Sarsfield
10080,Racing Club
10081,Huracán
10082,Lanús
10083,San Lorenzo
10084,Rosario Central
10087,Banfield
10094,Estudiantes
10104,Bristol Rovers
10105,Sarajevo
10107,Zrinjski
10108,Željezničar
10111,Posušje
10112,Široki Brijeg
10116,Borac Banja Luka
10122,Velež
10124,Radnik Bijeljina
10126,Beroe
10128,Lokomotiv Sofia 1929
10129,Lokomotiv Plovdiv
10131,Botev Plovdiv
10134,Slavia Sofia
10140,Dobrudzha 1919
10141,Cherno More
10144,CSKA 1948 Sofia
10145,Spartak Varna
10154,Hajduk Split
10156,Dinamo Zagreb
10157,Osijek
10162,Rijeka
10163,Sheffield Wednesday
10164,Sydney
10165,Varaždin
10167,Parma
10168,Catanzaro
10170,Derby County
10171,Como
10172,Queens Park Rangers
10173,Gillingham
10175,Wil
10179,Sion
10180,Mladá Boleslav
10181,Hapoel Tel Aviv
10182,Kayserispor
10185,Maccabi Haifa
10186,Ružomberok
10187,Atromitos
